"","YEAR","DIA_GROW","BA_GROW","NETVOL_GROW","BIO_GROW","BA_GROW_AC","NETVOL_GROW_AC","BIO_GROW_AC","DIA_GROW_SE","BA_GROW_SE","NETVOL_GROW_SE","BIO_GROW_SE","BA_GROW_AC_SE","NETVOL_GROW_AC_SE","BIO_GROW_AC_SE","nPlots_TREE","nPlots_AREA","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","polyID"
"1",1998,-0.0199539895528086,-0.00142813116347492,-0.0362795823396515,-0.000905627135762521,-2.81901451888785,-71.6129386223989,-1.78763415413572,-63.6005419732827,-75.2311963988747,-79.9051706617273,-77.8992967185269,-74.9976300320332,-80.0486955028824,-77.9685475171784,14,14,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
"2",1998,-0.00381648656989046,-0.00044835101303382,-0.0133576971851479,-0.000142197484048999,-1.00065810803249,-29.8125522289224,-0.317365325869619,-353.155925971643,-257.312169478643,-364.184676875718,-759.358054418338,-256.154085208214,-363.585905288335,-758.784454909147,6,6,633408865.706,342085.591116,1747,1799,"231","231A","231Ag","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Hills",0,156518.700566,63340.8708612,48
"3",1998,-0.00189523777678581,-0.000164322429324812,0.0105864768274049,0.000226344042404545,-0.37549440778618,24.1912370890704,0.517220458021741,-663.024311571701,-374.954179614528,116.949865161865,147.882744351049,-373.776812649148,119.91325354755,151.077040939382,4,4,602027990.916,832582.74797,1748,1801,"231","231A","231Ac","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Plains",0,148764.359215,60202.8002511,49
"4",1998,0.00503536036498064,0.000613794818874006,0.0840210175337391,0.00180471867237375,1.06702712939258,146.062987811033,3.13734121750452,NA,0,1.45246940348159e-06,NA,0,0,NA,1,1,133518708.529,672812.62891,1750,1802,"231","231A","231Ab","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Piedmont Ridge",0,32993.2361935,13351.8889786,50
"5",1999,0.00589042910805609,0.000608994976747201,0.0209525086155289,0.000443062670637985,1.34128025036612,46.1468272722727,0.975822843359649,72.3686191028189,30.054622272804,41.0011416459622,50.9202826858533,28.3193600993838,42.3904792064978,52.0835495903052,20,20,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
"6",1999,0.00829149197625008,0.000914088776366886,0.0460231376421056,0.00120943963247752,1.92011560017551,96.6752320347529,2.54052337785028,0,0,0,0,0,0,0,1,1,80992708377.6,2246946.11489,1542,1630,"M221","M221D","M221Dd","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Metasedimentary Mountains",1,1859336.73961,752446.882611,45
"7",1999,0.00788216883580899,0.000928441785635666,0.0561329393020516,0.00136774928163565,2.09118117101861,126.431347186741,3.08065792458105,17.0113383610786,20.1263493847206,27.4510510778751,26.8657589600093,20.5589763579692,30.3528691488129,29.9955626686685,5,5,633408865.706,342085.591116,1747,1799,"231","231A","231Ag","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Hills",0,156518.700566,63340.8708612,48
"8",1999,0.0144262306512353,0.00105608733710492,0.0590378351409635,0.00161060023460553,1.64228050807819,91.8074504679964,2.50458203471106,53.5827941216337,25.9507065154932,36.308684045654,35.1859725580312,34.9007946428721,45.1883644215216,44.0479341140239,3,3,602027990.916,832582.74797,1748,1801,"231","231A","231Ac","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Plains",0,148764.359215,60202.8002511,49
"9",2000,0.00623403829544192,0.00133400086543219,0.0551057109534227,0.00130899338629154,1.21834667844507,50.3281981617795,1.19550727860898,152.949356289002,31.5007429042227,8.01413626338895,12.88012850872,33.0784252799492,34.3554678797201,39.6776436785241,4,4,80594665029.3,6080161.9395,1019,1175,"M221","M221A","M221Ab","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Great Valley of Virginia",1,1850198.9217,748748.9389,34
"10",2000,-0.00288903167995276,6.6052871771545e-05,0.0191758533506966,0.000533088412440423,0.159517372829743,46.309595120273,1.28740599398296,-241.981840859957,556.853583027729,52.5197968072382,39.4151489434286,555.051662390417,51.4941724317818,38.0666436362676,28,28,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
