"","YEAR","NETVOL_ACRE","SAWVOL_ACRE","BIO_AG_ACRE","BIO_BG_ACRE","BIO_ACRE","CARB_AG_ACRE","CARB_BG_ACRE","CARB_ACRE","NETVOL_ACRE_SE","SAWVOL_ACRE_SE","BIO_AG_ACRE_SE","BIO_BG_ACRE_SE","BIO_ACRE_SE","CARB_AG_ACRE_SE","CARB_BG_ACRE_SE","CARB_ACRE_SE","nPlots_TREE","nPlots_AREA","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","polyID"
"1",2003,4223.39590857031,2749.19137247896,83.407897427605,17.6980885140157,101.105985941621,41.7039487604424,8.84904428559358,50.552993046036,0,0,NA,1.35514642636605e-06,1.34187081573171e-06,1.62659862990637e-06,88.4934462191199,52.3601469074563,1,1,102326580.547,429941.553185,47,143,"211","211A","211Aa","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Aroostook Hills and Lowlands","Aroostook Hills",0,25285.4445082,10232.6563501,1
"2",2003,1178.78029650899,544.750901261336,23.0398886678603,4.87873540413306,27.9186240719934,11.519944351901,2.4393677197863,13.9593120716873,30.726597581541,44.1423061754314,28.8293164814318,29.0686357201314,28.8662666821556,28.8293164648274,59.3903193516251,32.3385165697916,24,26,893239567.773,491042.875571,56,154,"M211","M211A","M211Ab","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","St. John Upland",0,220724.266966,89323.941735,2
"3",2003,1454.49864403282,677.431238171227,30.731308772823,6.42890161406977,37.1602103868928,15.3656544076255,3.21445082811988,18.5801052357454,6.81872666566507,10.2539832615378,7.67153301593938,7.32088087358682,7.60689767690153,7.67153300919485,17.5569383391704,8.8875060356771,215,228,65429303742,1609035.8431,105,223,"M211","M211A","M211Ac","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Maine Central Mountains",1,1502050.13182,607858.122271,3
"4",2003,737.130246939257,289.960026184361,13.9104196408418,3.02173831673094,16.9321579575728,6.95520983664613,1.51086917197471,8.46607900862084,37.9781653622835,66.7259976494802,36.5155379901012,36.6426177678015,36.5370013376881,36.5155379595167,93.2964887146031,42.8826551575287,5,5,65228745.2921,481619.825375,106,226,"211","211B","211Bb","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Maine-New Brunswick Lowlands",0,16118.3787885,6522.87647189,4
"5",2003,1647.09339618575,868.106307940795,33.8367654596922,7.18212631049991,41.0188917701921,16.9183827540988,3.59106317726589,20.5094459313647,15.9856888408163,22.0246304300498,14.0284654617301,14.933725522805,14.1759316459062,14.0284654559292,32.1699821294702,16.0525663860852,68,72,1936680480.28,338653.742491,118,237,"211","211B","211Ba","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Central Maine Foothills",0,478564.205683,193668.06293,5
"6",2003,1434.19030573837,679.853994746035,30.4047130107789,6.25291840382107,36.6576314146,15.2023565262913,3.12645922102426,18.3288157473155,15.0744754569899,20.4702531291367,15.5210925660583,14.9267323501401,15.4101601742479,15.5210925569853,33.8926791630961,18.4661940121777,56,60,16868893979.3,1308523.65785,131,264,"M211","M211A","M211Af","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Connecticut Lakes",1,387256.519268,156717.153211,6
"7",2003,1864.70519921122,876.089245018584,44.0050229987004,8.89267487875975,52.8976978774602,22.002511523549,4.44633746200757,26.4488489855565,7.86761410772339,12.147681471214,8.51265196926319,8.28979894085938,8.47079132242133,8.5126519644995,19.4331420414859,10.2734372768113,98,102,48661256882.8,1766731.4811,180,343,"M211","M211A","M211Ae","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Mahoosic Rangely Lakes",1,1117108.74387,452077.869464,8
"8",2003,1921.10857271203,1060.69818369671,41.0553693865268,8.56722986036936,49.6225992468962,20.5276847148465,4.28361495287066,24.8112996677172,13.2634893946429,21.0001027811405,12.0997991231633,12.4928244624551,12.162870387917,12.0997991184672,32.637964849963,17.0806217297887,39,39,1091778034.38,326071.117443,188,366,"M211","M211A","M211Ag","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Western Maine Foothills",0,269784.24257,109177.809471,9
"9",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864898410.969,533518.615687,227,423,"M211","M211B","M211Ba","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","New England Piedmont","Northern Piedmont",0,213720.99805,86489.8193562,10
"10",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517488463.567,400094.240746,252,434,"M211","M211C","M211Ca","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","Green-Taconic-Berkshire Mountains","Northern Green Mountain",0,127874.18151,51748.8452702,11
