"","YEAR","DIA_GROW","BA_GROW","NETVOL_GROW","BIO_GROW","BA_GROW_AC","NETVOL_GROW_AC","BIO_GROW_AC","DIA_GROW_SE","BA_GROW_SE","NETVOL_GROW_SE","BIO_GROW_SE","BA_GROW_AC_SE","NETVOL_GROW_AC_SE","BIO_GROW_AC_SE","nPlots_TREE","nPlots_AREA","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","polyID"
"1",2003,0.000235255219553949,0.000451923595452211,0.0178655353967681,0.000546314485403687,0.787238373126409,31.1212673166814,0.951664686315476,3566.69627336334,101.719081029083,70.3985057845929,48.062864992316,92.8323474642497,61.6194586258,39.5486944529049,15,15,80594665029.3,6080161.9395,1019,1175,"M221","M221A","M221Ab","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Great Valley of Virginia",1,1850198.9217,748748.9389,34
"2",2003,0.00449548609443369,0.000532549379078221,0.0352073169285302,0.000800672727018183,1.29471517213913,85.5947808569006,1.94656715097999,88.2543473705051,48.1962740370999,23.2547608547549,18.8516056371917,48.3078015972786,23.9316313805406,18.8693783239976,52,52,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
"3",2003,-0.00231655363265756,0.000126999571828374,0.0264982515006055,0.000639539334675641,0.266492366875454,55.6031934501353,1.3419915402391,-163.966171058306,198.650348928531,29.9351734759971,25.7644916379346,197.470713803644,28.7865780752945,24.4987132754195,83,84,80992708377.6,2246946.11489,1542,1630,"M221","M221D","M221Dd","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Metasedimentary Mountains",1,1859336.73961,752446.882611,45
"4",2003,0.000945792121438494,0.000448144402735169,0.0400489572378598,0.00107948569901972,0.887136743766439,79.2800296029406,2.1369260044886,1363.09321322026,185.229860469814,51.867208211167,40.2656047516823,178.35369267098,45.871154767842,34.9294382225142,16,16,994803185.76,800064.186106,1589,1657,"221","221J","221Jb","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Sandstone Hills",0,245821.211398,99480.3148107,46
"5",2004,0.00465946617084713,0.000703557225440462,0.0283530696474293,0.000686136652617202,1.54534205760555,62.2766555498896,1.50707829898305,103.57269660262,38.2572725378486,25.8085925906501,19.668826323162,38.8671642413833,27.5101327847284,21.3408105249698,20,20,80594665029.3,6080161.9395,1019,1175,"M221","M221A","M221Ab","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Great Valley of Virginia",1,1850198.9217,748748.9389,34
"6",2004,0.00522524008371601,0.000537551726779908,0.0222585855613623,0.00050125986858158,1.26647914439621,52.441528866609,1.18097503524769,73.8075239976289,43.8405338041133,32.2407236458677,27.7293004352046,44.3289086443929,32.6245641641222,28.031899659921,146,146,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
"7",2004,0.00869972943058701,0.000971994465060476,0.0402977825511651,0.00108533923839847,2.06521947136039,85.6216451522026,2.3060457736583,2.17094895793978e-06,0,1.87471045263704e-06,2.17520336885177e-06,NA,NA,NA,1,1,47382559.6696,367672.584936,1521,1612,"221","221J","221Jc","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Holston Valley",0,11708.4878439,4738.25692275,44
"8",2004,-0.00402208941214912,6.72465846815111e-05,0.0152172954889401,0.000350997784227115,0.154177211755298,34.8889122035414,0.804737667507194,-97.3367104276985,357.073060709656,40.7664558904816,36.8216882239474,355.848870976167,39.2017497807105,35.3738551915232,108,109,80992708377.6,2246946.11489,1542,1630,"M221","M221D","M221Dd","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Metasedimentary Mountains",1,1859336.73961,752446.882611,45
"9",2004,-0.0108517763444525,-0.000419154360027518,0.00780025020449149,0.000339286773788596,-0.868912881623424,16.1700283449835,0.703346252416435,-144.352780870633,-228.853558622732,338.090786342441,169.261750430761,-240.30529795649,326.979131494436,158.362184269563,20,20,994803185.76,800064.186106,1589,1657,"221","221J","221Jb","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Sandstone Hills",0,245821.211398,99480.3148107,46
"10",2004,-0.000302139833537598,0.000298281026519396,0.0194745994981048,0.000515784194985141,0.659635553395508,43.0672321568295,1.1406343771234,-2468.31346906706,132.466396415584,38.2945051801382,30.7964728510924,140.487421555395,48.4712453975474,41.2840244859696,24,24,633408865.706,342085.591116,1747,1799,"231","231A","231Ag","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Hills",0,156518.700566,63340.8708612,48
