"","YEAR","NETVOL_ACRE","SAWVOL_ACRE","BIO_AG_ACRE","BIO_BG_ACRE","BIO_ACRE","CARB_AG_ACRE","CARB_BG_ACRE","CARB_ACRE","NETVOL_ACRE_SE","SAWVOL_ACRE_SE","BIO_AG_ACRE_SE","BIO_BG_ACRE_SE","BIO_ACRE_SE","CARB_AG_ACRE_SE","CARB_BG_ACRE_SE","CARB_ACRE_SE","nPlots_TREE","nPlots_AREA","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","polyID"
"1",2003,4223.39590857031,2749.19137247896,83.407897427605,17.6980885140157,101.105985941621,41.7039487604424,8.84904428559358,50.552993046036,2.01612588258689e-06,NA,0,NA,NA,NA,100.53717394415,59.4862266335695,1,1,102326580.547,429941.553185,47,143,"211","211A","211Aa","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Aroostook Hills and Lowlands","Aroostook Hills",0,25285.4445082,10232.6563501,1
"2",2003,1198.63517025412,563.026469081651,24.4325072338764,5.12200896925753,29.554516203134,12.2162536348474,2.56100450225368,14.777258137101,17.6104363341182,27.1143085751136,16.8089091953284,16.7231988533639,16.7883191002033,16.8089091838617,38.4817553278884,20.2765569062597,24,26,893239567.773,491042.875571,56,154,"M211","M211A","M211Ab","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","St. John Upland",0,220724.266966,89323.941735,2
"3",2003,1369.73369848274,607.52656689975,29.2587245772153,6.10090217295906,35.3596267501743,14.6293623090968,3.05045110625809,17.6798134153549,4.91586478710874,6.93415778760661,5.0685994918106,4.95915222417277,5.0467656435041,5.06859948879718,11.412991203675,6.06423920597234,215,228,65429303742,1609035.8431,105,223,"M211","M211A","M211Ac","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Maine Central Mountains",1,1502050.13182,607858.122271,3
"4",2003,915.295213947932,433.354032033367,16.8389410294186,3.68078082829099,20.5197218577096,8.41947053259524,1.84039042914528,10.2598609617405,45.598001292994,64.2009446446875,44.7319103440312,44.7465728825199,44.7334104186783,44.7319103151488,99.800777233885,51.7805212545664,5,5,65228745.2921,481619.825375,106,226,"211","211B","211Bb","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Maine-New Brunswick Lowlands",0,16118.3787885,6522.87647189,4
"5",2003,1576.01955767369,796.844163969645,32.4801705435288,6.84677298684823,39.326943530377,16.2400852948887,3.42338651525866,19.6634718101474,7.49610568613235,10.44553155813,7.19928510091287,7.18110672506227,7.19012465889946,7.19928509707588,18.1322283914504,9.85374413796701,68,72,1936680480.28,338653.742491,118,237,"211","211B","211Ba","Humid Temperate","Warm Continental","Northeastern Mixed Forest","Maine - New Brunswick Foothills and Lowlands","Central Maine Foothills",0,478564.205683,193668.06293,5
"6",2003,1450.71146206562,637.082596882312,32.11442019011,6.56818356664832,38.6826037567584,16.0572101168593,3.28409180296785,19.3413019198271,9.00375249237039,11.953953245374,9.71988686985013,9.38025116149082,9.65824668342272,9.71988686468399,22.5335548420091,12.063994596949,56,60,16868893979.3,1308523.65785,131,264,"M211","M211A","M211Af","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Connecticut Lakes",1,387256.519268,156717.153211,6
"7",2003,1806.11278637816,790.353919762252,42.4677263327895,8.60396665851413,51.0716929913037,21.2338631915651,4.30198335268956,25.5358465442546,5.36392960091415,8.54903795602465,5.5614628629814,5.43966220538191,5.53781444077022,5.56146285963619,13.9359660228138,7.51043727900155,98,102,48661256882.8,1766731.4811,180,343,"M211","M211A","M211Ae","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Mahoosic Rangely Lakes",1,1117108.74387,452077.869464,8
"8",2003,1915.53280326006,1024.31339916716,42.1753643748697,8.743894897229,50.9192592720987,21.0876822098105,4.37194747139722,25.4596296812077,9.38915472683123,15.2959807047498,8.68155055566242,8.80908110420718,8.69591126473277,8.68155055222463,23.5452674720159,12.5289633159472,39,39,1091778034.38,326071.117443,188,366,"M211","M211A","M211Ag","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","Western Maine Foothills",0,269784.24257,109177.809471,9
"9",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864898410.969,533518.615687,227,423,"M211","M211B","M211Ba","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","New England Piedmont","Northern Piedmont",0,213720.99805,86489.8193562,10
"10",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517488463.567,400094.240746,252,434,"M211","M211C","M211Ca","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","Green-Taconic-Berkshire Mountains","Northern Green Mountain",0,127874.18151,51748.8452702,11
"11",2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17916319.7071,467338.758145,268,463,"211","211E","211Ec","Humid Temperate","Warm Continental","Northeastern Mixed Forest","St. Lawrence and Champlain Valley","Champlain Glacial Lake and Marine Plains",0,4427.21375746,1791.62984277,12
"12",2003,1974.07488186676,1045.19632048561,47.6660012502188,9.65695372615864,57.3229549763774,23.8330006481819,4.82847688363321,28.6614775318151,19.436624160184,26.6447325212522,19.0912087456089,18.9302893660331,19.0594526692644,19.0912087398818,50.2463193370135,27.0168178848211,9,9,29490466371.9,973599.239888,310,523,"M211","M211A","M211Ad","Humid Temperate","Warm Continental","Adirondack-New England Mixed Forest--Coniferous Forest--Alpine Meadow","White Mountains","White Mountains",1,677007.951605,273975.397697,13
"13",2003,1686.27719550772,743.625947298695,39.7719715238633,8.08128779343997,47.8532593173033,19.885985784457,4.04064391800249,23.9266297024595,15.175644375871,25.2275977995053,14.0222086422679,14.0642136962372,14.0238575749449,14.0222086379775,35.8709959642298,19.1135411991305,18,19,685207574.065,410875.610594,318,537,"221","221A","221Al","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Lower New England","Sebago-Ossipee Hills and Plains",0,169318.481518,68520.7584363,14
