"","YEAR","DIA_GROW","BA_GROW","NETVOL_GROW","BIO_GROW","BA_GROW_AC","NETVOL_GROW_AC","BIO_GROW_AC","DIA_GROW_SE","BA_GROW_SE","NETVOL_GROW_SE","BIO_GROW_SE","BA_GROW_AC_SE","NETVOL_GROW_AC_SE","BIO_GROW_AC_SE","nPlots_TREE","nPlots_AREA","AREA","PERIMETER","ECOMAP_200","ECOMAP_201","PROVINCE","SECTION","SUBSECTION","DOMAIN_NAM","DIVISION_N","PROVINCE_N","SECTION_NA","SUBSECTI_1","ATIntersec","Acres","Hectares","polyID"
"1",2003,0.000190627828426025,0.000601359458694948,0.0246033834988698,0.000680575778714674,0.999622363402463,40.8974898544221,1.13130135155709,3374.16195362451,59.1556345330251,42.0382413481693,32.991858163163,54.007150298175,38.3764134073942,30.7600653093069,15,15,80594665029.3,6080161.9395,1019,1175,"M221","M221A","M221Ab","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Great Valley of Virginia",1,1850198.9217,748748.9389,34
"2",2003,-0.0029315984922859,9.13638500445861e-05,0.0215870127769044,0.000573771751441072,0.221780913358052,52.40133168641,1.3928005773788,-180.178386848062,339.916029138707,39.9148247153563,28.2742681372992,339.549606549644,39.5807992194282,27.8456698836627,52,52,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
"3",2003,-0.00162268340548847,0.000191689063583971,0.0320309282222082,0.000726818193715162,0.401041441430567,67.0133672960754,1.52060952573751,-163.100955509421,93.1726448324412,21.1034653545262,19.7914660252368,92.5047902644834,20.5336149281894,19.1918059457076,83,84,80992708377.6,2246946.11489,1542,1630,"M221","M221D","M221Dd","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Metasedimentary Mountains",1,1859336.73961,752446.882611,45
"4",2003,0.00374412655169258,0.000581408377476282,0.0416491081278868,0.00108560244140916,1.18058820069196,84.5712712956784,2.20438762601476,165.780961662468,66.69254256003,26.4577714997364,22.878398122614,64.0569865019113,25.524516091168,22.2584951359027,16,16,994803185.76,800064.186106,1589,1657,"221","221J","221Jb","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Sandstone Hills",0,245821.211398,99480.3148107,46
"5",2004,0.00251860240102643,0.000686826369128945,0.0278894817498086,0.000709769669074625,1.29377990984687,52.5356229838769,1.33699837359478,191.973138883505,38.2478148624727,27.0422803737596,22.2704715967771,36.2702325282528,26.2599185805322,22.0416591655327,20,20,80594665029.3,6080161.9395,1019,1175,"M221","M221A","M221Ab","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Northern Ridge and Valley","Great Valley of Virginia",1,1850198.9217,748748.9389,34
"6",2004,6.98363971603434e-05,0.000188689243587363,0.0146291349309456,0.000355415057887693,0.433229963391002,33.5884519439562,0.816031955981662,3631.52002400527,86.9659431433288,31.6985399325862,28.5314774686848,86.8924188014846,31.779770026609,28.6370928785249,146,146,114899866483,3657874.60236,1465,1581,"M221","M221D","M221Dc","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Southern Blue Ridge Mountains",1,2637737.9817,1067454.68919,42
"7",2004,0.00869972943058701,0.000971994465060476,0.0402977825511651,0.00108533923839847,2.06521947136039,85.6216451522027,2.3060457736583,NA,0,0,NA,NA,0,1.52112591709584e-06,1,1,47382559.6696,367672.584936,1521,1612,"221","221J","221Jc","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Holston Valley",0,11708.4878439,4738.25692275,44
"8",2004,-0.00208150811955154,0.000171194062054223,0.027084616499125,0.000609630537897746,0.368787506465489,58.3458798887702,1.31327058449794,-103.816216196218,82.6215606857105,19.0097727402235,17.9628150586484,82.1160981574207,18.463679574625,17.4114281793782,108,109,80992708377.6,2246946.11489,1542,1630,"M221","M221D","M221Dd","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Metasedimentary Mountains",1,1859336.73961,752446.882611,45
"9",2004,-0.00113744381888754,0.000240705677309609,0.0298164663236225,0.000819905955174027,0.496302972466445,61.4775730687293,1.69053662233485,-661.303797147478,194.540347138732,45.5748955906852,36.8500341333924,190.645518343598,42.7965924867163,34.3234917993503,20,20,994803185.76,800064.186106,1589,1657,"221","221J","221Jb","Humid Temperate","Hot Continental","Eastern Broadleaf Forest","Central Ridge and Valley","Sandstone Hills",0,245821.211398,99480.3148107,46
"10",2004,0.00369817888775073,0.000393187491376988,0.0201788528063198,0.000552626983807422,0.922537351741037,47.3457214112279,1.29663085760152,109.216848837189,86.349934763753,72.9840218107588,59.2393164376517,87.4850302464135,74.0401416600767,60.330610908326,24,24,633408865.706,342085.591116,1747,1799,"231","231A","231Ag","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Hills",0,156518.700566,63340.8708612,48
"11",2004,0.00670797125386705,0.000545164204880241,0.0238365996147081,0.000557790000203477,1.19623803591029,52.3039606243816,1.22394245315572,79.3147908019913,54.8414669213744,30.0943724352638,34.9906159886255,56.0777243799031,32.5666475709934,37.1637194519738,14,14,602027990.916,832582.74797,1748,1801,"231","231A","231Ac","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Schist Plains",0,148764.359215,60202.8002511,49
"12",2004,0.00788056611979319,0.000506580181437174,0.038798815582043,0.000853097148133211,1.31011663704781,100.341418109915,2.20627811300582,29.1067919791526,17.0625511744631,93.9661250595703,89.9298454968456,22.2537833783099,54.6497905067972,50.6135109440726,2,2,133518708.529,672812.62891,1750,1802,"231","231A","231Ab","Humid Temperate","Subtropical","Southeastern Mixed Forest","Southern Appalachian Piedmont","Piedmont Ridge",0,32993.2361935,13351.8889786,50
"13",2005,0.0070265370539745,0.000828566147732635,0.0156910044769127,0.000320852343303375,1.49251598143466,28.2645809397851,0.577958985376714,29.5440582162969,15.5435837313881,23.6162232586429,25.1488363490086,15.0290709063863,23.21577813969,24.8984224252033,73,73,66925662633.2,4001953.55157,937,1097,"M221","M221D","M221Da","Humid Temperate","Hot Continental","Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow","Blue Ridge Mountains","Northern Blue Ridge Mountains",1,1536401.80517,621759.751264,33
